Wall time,Step,Value
1588034167.9539356,6,0.0
1588034169.937061,16,-2.0
1588034170.4733846,19,-1.0
1588034171.4439745,25,-1.0
1588034175.7145905,41,-2.0
1588034176.2465248,43,-1.0
1588034176.6369753,45,1.0
1588034177.026459,46,-1.0
1588034177.5367465,48,-2.0
1588034178.796782,54,-1.0
1588034178.9590154,55,-2.0
1588034179.638144,57,-2.0
1588034181.1879692,66,-1.0
1588034182.7599535,72,-1.0
1588034182.8639324,73,-2.0
1588034183.101225,74,-1.0
1588034183.2533464,75,-1.0
1588034184.3987808,80,-2.0
1588034186.4828327,88,-2.0
1588034188.029988,95,-2.0
1588034190.044408,103,0.0
1588034190.8302155,106,-2.0
1588034190.9093053,107,-2.0
1588034192.7489483,114,-2.0
1588034193.6758504,119,-2.0
1588034195.358148,127,-2.0
1588034195.8198526,130,-1.0
1588034195.903573,131,-2.0
1588034198.118845,140,-1.0
1588034199.372819,142,2.0
1588034200.219661,143,0.0
1588034201.6373076,151,-2.0
1588034202.9671595,156,-2.0
1588034204.1476243,159,-2.0
1588034206.856675,168,-1.0
1588034206.9112992,169,-2.0
1588034208.2736497,178,-2.0
1588034208.4980624,179,-1.0
1588034209.930554,184,-2.0
1588034210.2325916,186,-2.0
1588034210.2983072,187,-1.0
1588034210.8349395,191,-2.0
1588034212.9690657,199,-1.0
1588034215.2183204,207,-1.0
1588034215.3175304,208,-2.0
1588034215.4771333,209,-1.0
1588034216.7341058,213,0.0
1588034219.4205282,224,1.0
1588034220.4710562,230,-2.0
1588034221.6136801,235,-2.0
1588034222.344066,238,0.0
1588034226.3753247,250,-1.0
1588034228.5072184,256,-1.0
1588034229.9413846,261,0.0
1588034230.8742876,264,0.0
1588034232.472781,268,-2.0
1588034233.663881,272,-2.0
1588034233.9636993,274,-2.0
1588034237.8459158,293,-1.0
1588034239.004002,298,2.0
1588034239.5553558,299,-1.0
1588034241.0075922,304,1.0
1588034241.707296,308,-2.0
1588034242.0311787,309,0.0
1588034242.5070395,311,-2.0
1588034244.3121614,319,0.0
1588034244.4647045,320,-2.0
1588034246.236661,326,-1.0
1588034246.3441474,327,-2.0
1588034246.8156505,328,0.0
1588034247.6071942,331,-2.0
1588034249.1161656,340,-2.0
1588034251.3089464,348,-1.0
1588034255.61935,364,-2.0
1588034256.6521935,368,-1.0
1588034258.3712986,374,-2.0
1588034259.2063642,378,-2.0
1588034259.8568883,380,-1.0
1588034263.348922,392,-2.0
1588034263.4891186,393,0.0
1588034267.958214,409,-1.0
1588034270.491345,422,-2.0
1588034270.5966778,423,-2.0
1588034270.9513633,425,-1.0
1588034272.7963262,431,-2.0
1588034275.9610736,440,-1.0
1588034276.8405962,442,5.0
1588034277.078377,443,-1.0
1588034277.979723,446,-1.0
1588034279.5443532,452,-2.0
1588034282.28619,461,1.0
1588034283.1196086,464,-1.0
1588034283.2905934,465,-1.0
1588034285.9825227,474,-2.0
1588034286.5093837,475,-2.0
1588034289.4753528,490,-1.0
1588034289.9369829,492,-2.0
1588034290.2126937,494,-1.0
1588034293.3221283,508,0.0
1588034295.3288023,513,-2.0
1588034296.02259,515,1.0
1588034296.9529355,518,-1.0
1588034299.303343,526,-1.0
1588034300.7081742,532,-1.0
1588034301.471553,534,1.0
1588034302.4272091,537,0.0
1588034304.8843286,543,-2.0
1588034306.7527254,548,-2.0
1588034310.7848778,558,-2.0
1588034311.4314227,560,4.0
1588034312.0316157,564,-2.0
1588034315.23087,570,-1.0
1588034315.8412344,574,-2.0
1588034316.354572,575,1.0
1588034317.5905623,580,-2.0
1588034317.9969523,582,-1.0
1588034318.847111,583,0.0
1588034319.6871176,585,-2.0
1588034320.0567825,587,-2.0
1588034320.2928176,588,0.0
1588034321.8758352,593,-1.0
1588034322.4716432,594,-1.0
1588034326.9182277,603,-2.0
1588034328.2439408,609,-2.0
1588034328.5872698,611,-1.0
1588034330.9083426,616,-1.0
1588034333.2940664,621,-1.0
1588034334.6035693,623,-2.0
1588034337.9363303,635,2.0
1588034342.426599,642,-2.0
1588034342.487757,643,-2.0
1588034343.5406065,645,1.0
1588034343.7646537,646,-1.0
1588034344.0307784,647,-1.0
1588034344.17295,648,0.0
1588034344.9361894,650,-2.0
1588034346.4693708,653,-1.0
1588034347.2135959,657,-2.0
1588034349.1116252,662,0.0
1588034349.8813412,665,-1.0
1588034352.856901,669,4.0
1588034355.4978065,672,2.0
1588034356.7228024,673,1.0
1588034357.165821,675,-1.0
1588034357.4326515,676,-1.0
1588034358.1277835,679,-2.0
1588034358.6896517,680,-1.0
1588034359.8111792,683,-2.0
1588034360.3085012,684,0.0
1588034362.5253074,689,0.0
1588034362.8351371,690,-2.0
1588034365.4600818,697,-2.0
1588034366.675296,700,-1.0
1588034368.4514446,704,-2.0
1588034370.7035835,707,-2.0
1588034373.0470266,709,0.0
1588034373.595715,711,-2.0
1588034374.1649566,715,-1.0
1588034376.5146224,719,-2.0
1588034377.39462,722,-1.0
1588034377.8629222,723,0.0
1588034378.0652688,724,-1.0
1588034381.0905552,731,-1.0
1588034386.735455,737,7.0
1588034387.4009137,739,0.0
1588034388.021461,740,-1.0
1588034390.162489,744,2.0
1588034391.5915172,748,-1.0
1588034392.0922818,751,-1.0
1588034392.4699404,752,0.0
1588034392.900967,753,-2.0
1588034393.5668905,755,-2.0
1588034393.7864952,757,-1.0
1588034397.8932152,766,-1.0
1588034398.2682683,767,-1.0
1588034400.236208,770,0.0
1588034400.5223513,771,-2.0
1588034400.7583983,772,-1.0
1588034401.2679944,774,-1.0
1588034401.4474392,775,-2.0
1588034404.6316345,781,-1.0
1588034407.141694,785,-2.0
1588034407.4057786,786,-1.0
1588034408.4046266,788,-2.0
1588034411.0542903,790,-1.0
1588034411.8623924,793,-1.0
1588034412.0278122,794,0.0
1588034412.441289,795,-1.0
1588034412.9334183,796,-1.0
1588034414.3410544,799,-2.0
1588034415.144454,803,-1.0
1588034417.3815463,808,0.0
1588034417.5945337,809,-2.0
1588034417.9735868,810,-1.0
1588034420.5984218,816,-1.0
1588034421.9672031,822,-1.0
1588034424.3099122,826,-2.0
1588034426.3729043,829,2.0
1588034428.515903,833,0.0
1588034431.4932048,837,0.0
1588034431.9930508,839,-2.0
1588034435.1830137,844,0.0
1588034438.1005762,847,-2.0
1588034451.2994258,868,-2.0
1588034452.2909775,870,-1.0
1588034452.8023276,871,0.0
1588034456.2680202,875,0.0
1588034457.4438057,877,-1.0
1588034466.207244,881,-1.0
1588034467.1739416,883,-2.0
1588034469.6456778,891,-1.0
1588034473.050536,897,-1.0
1588034476.259278,901,0.0
1588034483.1007764,908,-1.0
1588034483.9904985,909,0.0
1588034485.0328386,910,0.0
1588034485.1348734,911,-1.0
1588034488.4979842,916,1.0
1588034489.5708177,918,1.0
1588034490.9697986,921,1.0
1588034492.4310925,922,4.0
1588034493.0047984,924,1.0
1588034499.9632113,932,-2.0
1588034500.080432,933,-1.0
1588034502.622146,936,-1.0
1588034507.7576818,943,-2.0
1588034511.2440336,946,-2.0
1588034516.6084437,955,-2.0
1588034517.9235165,957,-1.0
1588034518.094032,958,-1.0
1588034518.999174,959,1.0
1588034524.568679,962,7.0
1588034527.582474,963,-1.0
1588034534.613615,967,0.0
1588034539.1714227,972,-1.0
1588034541.1364317,973,-1.0
1588034548.9221704,977,1.0
1588034549.5700333,978,-2.0
1588034549.8173566,979,-1.0
1588034550.2218227,980,0.0
1588034552.8497655,984,-2.0
1588034553.760752,985,0.0
1588034557.0466971,988,-1.0
1588034557.6345983,989,0.0
1588034565.9360654,997,0.0
1588034569.6560366,1001,2.0
1588034571.9914303,1003,-1.0
1588034574.5767703,1005,-1.0
1588034577.2977116,1006,1.0
1588034586.2318501,1013,0.0
1588034587.1811633,1014,0.0
1588034588.5356438,1015,2.0
1588034599.7606454,1018,2.0
1588034620.983827,1026,2.0
1588034622.478464,1028,0.0
1588034644.3427253,1032,10.0
1588034649.4153411,1033,1.0
1588034655.3798797,1036,1.0
1588034656.208923,1038,-1.0
1588034691.6602309,1045,1.0
1588034723.952232,1056,2.0
1588034729.4450488,1058,5.0
1588034758.9043336,1064,1.0
1588034764.875238,1065,5.0
1588034785.7317274,1067,8.0
1588034795.3484445,1069,8.0
1588034816.8779647,1073,11.0
1588034836.09297,1077,-1.0
1588034846.2483466,1079,8.0
1588034869.8288436,1084,1.0
1588034873.218908,1085,4.0
1588034875.1564248,1086,0.0
1588034933.1442692,1094,8.0
1588034988.403891,1100,4.0
1588035010.0481956,1104,7.0
1588035011.6812582,1105,2.0
1588035013.5858269,1106,6.0
1588035122.8052316,1115,8.0
1588035134.711668,1117,4.0
1588035146.290952,1120,2.0
1588035185.1862576,1126,5.0
1588035196.4119322,1127,12.0
1588035239.8384464,1134,8.0
1588035254.7362359,1136,11.0
1588035450.94425,1156,12.0
1588035459.8280017,1157,9.0
1588035479.3813765,1161,4.0
1588035490.0175269,1162,12.0
1588035492.0002086,1163,2.0
1588035624.0085108,1181,12.0
1588035642.7717347,1184,4.0
1588035644.057774,1186,-2.0
1588035685.8818903,1193,15.0
1588035690.8609474,1194,4.0
1588035721.9416661,1200,9.0
1588035740.3191023,1202,16.0
1588035759.1287813,1207,0.0
1588035768.6223783,1209,4.0
1588035789.4513702,1211,18.0
1588035806.3943944,1215,0.0
1588035889.1732132,1225,19.0
1588035943.10566,1233,18.0
1588035943.331855,1234,1.0
1588035949.88736,1235,11.0
1588035957.1683245,1237,10.0
1588035976.8109922,1240,12.0
1588036011.0571496,1245,8.0
1588036037.6716554,1248,9.0
1588036090.7117555,1254,17.0
1588036102.7563238,1256,3.0
1588036118.4809413,1258,25.0
