Wall time,Step,Value
1588102376,6,-2
1588102376,16,-1
1588102376,19,-1
1588102376,25,-1
1588102376,41,0
1588102376,43,-2
1588102376,45,-1
1588102376,46,-1
1588102376,48,-2
1588102376,54,-1
1588102376,55,-2
1588102376,57,-2
1588102376,66,-2
1588102376,72,-2
1588102376,73,-2
1588102376,74,0
1588102376,75,-2
1588102376,80,-2
1588102376,88,-1
1588102376,95,-2
1588102377,103,0
1588102377,106,-1
1588102377,107,-2
1588102377,114,0
1588102377,119,-1
1588102377,127,-2
1588102377,130,-1
1588102377,131,-2
1588102377,140,-1
1588102377,142,1
1588102377,143,-2
1588102377,151,-2
1588102377,156,-2
1588102377,159,0
1588102377,168,-2
1588102377,169,-2
1588102377,178,-1
1588102377,179,-2
1588102377,184,-1
1588102378,186,-2
1588102378,187,-2
1588102378,191,-2
1588102378,199,-2
1588102378,207,-1
1588102378,208,-2
1588102378,209,-2
1588102378,213,-1
1588102378,224,-1
1588102378,230,-2
1588102378,235,-2
1588102378,238,-2
1588102378,250,-2
1588102378,256,-2
1588102378,261,-2
1588102378,264,-2
1588102379,268,-2
1588102379,272,-2
1588102379,274,-1
1588102379,293,1
1588102379,298,-2
1588102379,299,-1
1588102379,304,-2
1588102379,308,-1
1588102379,309,-2
1588102379,311,-2
1588102379,319,-2
1588102379,320,-2
1588102379,326,-2
1588102379,327,-2
1588102379,328,-2
1588102379,331,1
1588102380,340,-2
1588102380,348,-2
1588102382,364,-2
1588102383,368,-2
1588102385,374,-2
1588102386,378,-2
1588102387,380,-2
1588102389,392,-1
1588102389,393,0
1588102393,409,-2
1588102395,422,-2
1588102396,423,0
1588102396,425,-1
1588102397,431,-2
1588102399,440,-1
1588102400,442,0
1588102400,443,-2
1588102400,446,-2
1588102402,452,-2
1588102403,461,-1
1588102404,464,-1
1588102404,465,-2
1588102406,474,-1
1588102408,475,0
1588102412,490,-2
1588102413,492,0
1588102413,494,-1
1588102416,508,-2
1588102417,513,2
1588102418,515,0
1588102420,518,0
1588102423,526,-1
1588102425,532,-1
1588102426,534,-1
1588102427,537,-2
1588102429,543,-1
1588102431,548,-1
1588102434,558,-2
1588102435,560,-2
1588102437,564,-1
1588102443,570,-1
1588102445,574,0
1588102447,575,3
1588102449,580,-1
1588102450,582,-1
1588102450,583,0
1588102451,585,0
1588102452,587,-2
1588102453,588,-1
1588102454,593,-2
1588102454,594,-1
1588102461,603,0
1588102467,609,-1
1588102469,611,3
1588102479,616,-1
1588102482,621,1
1588102485,623,2
1588102492,635,-1
1588102499,642,1
