Wall time,Step,Value
1588058133.5558105,6,-2.0
1588058135.22279,16,-2.0
1588058135.4201608,19,-2.0
1588058136.832719,25,-1.0
1588058139.534489,41,-2.0
1588058139.796282,43,0.0
1588058140.1275573,45,-1.0
1588058140.6068072,46,1.0
1588058141.1201339,48,-2.0
1588058142.040511,54,-2.0
1588058142.09594,55,-2.0
1588058142.5227373,57,-1.0
1588058144.180353,66,-2.0
1588058145.4426107,72,-2.0
1588058145.5885746,73,0.0
1588058145.7140164,74,-2.0
1588058145.7641041,75,-2.0
1588058146.5048404,80,-2.0
1588058147.8466794,88,-2.0
1588058149.0477576,95,-1.0
1588058149.7805293,103,-1.0
1588058150.87202,106,-2.0
1588058151.0836208,107,-1.0
1588058152.2639034,114,1.0
1588058153.2782419,119,-1.0
1588058154.5424635,127,-1.0
1588058154.9269185,130,-1.0
1588058155.4157164,131,2.0
1588058157.0710402,140,-2.0
1588058157.7016494,142,-1.0
1588058157.8062973,143,-2.0
1588058159.1660492,151,-2.0
1588058160.1853633,156,0.0
1588058161.0120888,159,-2.0
1588058162.5599425,168,-2.0
1588058162.639808,169,-1.0
1588058164.6190288,178,-1.0
1588058164.6597476,179,-2.0
1588058165.4997654,184,-1.0
1588058166.246635,186,-2.0
1588058166.302902,187,-2.0
1588058167.009469,191,-2.0
1588058169.0735166,199,-2.0
1588058170.393891,207,-1.0
1588058170.4929724,208,-2.0
1588058171.1812222,209,1.0
1588058171.9520822,213,-2.0
1588058173.5601149,224,-2.0
1588058174.541652,230,-1.0
1588058175.2842362,235,-2.0
1588058175.5225158,238,-1.0
1588058176.9482293,250,-2.0
1588058177.9473562,256,1.0
1588058178.7588644,261,-1.0
1588058179.2833564,264,-2.0
1588058180.1251428,268,-1.0
1588058180.729975,272,-2.0
1588058180.8627017,274,-2.0
1588058184.0355318,293,-1.0
1588058184.9955118,298,-2.0
1588058185.1630027,299,0.0
1588058186.083009,304,-2.0
1588058186.684614,308,-2.0
1588058186.8362367,309,0.0
1588058187.0817633,311,0.0
1588058188.3303194,319,-2.0
1588058188.4023538,320,-2.0
1588058189.463043,326,-2.0
1588058189.6957293,327,-1.0
1588058189.7962112,328,-1.0
1588058190.2219133,331,-2.0
1588058191.6992855,340,-1.0
1588058192.9414034,348,0.0
1588058194.881356,364,-1.0
1588058195.8927,368,-1.0
1588058196.4855564,374,-2.0
1588058196.9438465,378,-2.0
1588058197.168618,380,-1.0
1588058199.8076375,392,-1.0
1588058199.9496922,393,-1.0
1588058202.62247,409,-1.0
1588058205.6933773,422,-2.0
1588058205.7542264,423,-2.0
1588058206.0154018,425,-2.0
1588058207.3035786,431,-1.0
1588058208.9868631,440,-2.0
1588058209.3237007,442,-1.0
1588058209.8403912,443,0.0
1588058210.173986,446,-2.0
1588058211.1623282,452,-2.0
1588058213.052021,461,0.0
1588058213.4022763,464,-2.0
1588058213.4924533,465,-2.0
1588058215.4005392,474,-2.0
1588058215.48396,475,-1.0
1588058218.541736,490,-2.0
1588058218.747089,492,-2.0
1588058219.2190523,494,-1.0
1588058222.118015,508,-2.0
1588058222.9721432,513,-1.0
1588058223.378577,515,1.0
1588058223.8568256,518,-2.0
1588058225.3017025,526,-1.0
1588058226.5118647,532,-2.0
1588058226.8560236,534,-2.0
1588058227.4775229,537,-2.0
1588058229.086536,543,1.0
1588058230.5874999,548,0.0
1588058232.0276868,558,-1.0
1588058232.4623368,560,0.0
1588058233.5677166,564,-1.0
1588058234.9676747,570,0.0
1588058236.1915565,574,-1.0
1588058236.276045,575,-1.0
1588058237.648061,580,-1.0
1588058237.9526892,582,-2.0
1588058238.064798,583,-1.0
1588058238.9973888,585,-1.0
1588058239.3285487,587,-1.0
1588058239.5166864,588,0.0
1588058240.4935954,593,-1.0
1588058240.7600489,594,1.0
1588058242.9160335,603,0.0
1588058244.5184743,609,-1.0
1588058244.7703564,611,-2.0
1588058245.4828093,616,-1.0
1588058246.9355252,621,0.0
1588058247.3946025,623,0.0
1588058250.9492948,635,-1.0
1588058252.878688,642,-2.0
1588058252.9397886,643,-2.0
1588058253.328917,645,0.0
1588058253.5878034,646,0.0
1588058253.7331088,647,0.0
1588058253.9554105,648,0.0
1588058254.1574924,650,0.0
1588058254.483979,653,-1.0
1588058255.116949,657,-1.0
1588058255.9540844,662,-1.0
1588058256.4228282,665,0.0
1588058257.7338731,669,0.0
1588058258.2744553,672,-1.0
1588058258.7163656,673,0.0
1588058259.0611877,675,-2.0
1588058259.1272159,676,-1.0
1588058259.6144981,679,-2.0
1588058259.752697,680,-1.0
1588058260.47357,683,-2.0
1588058260.7953718,684,-2.0
1588058263.119502,689,-2.0
1588058263.1640375,690,-2.0
1588058265.0414927,697,-1.0
1588058266.1284015,700,-1.0
1588058267.0387447,704,-1.0
1588058269.0357955,707,4.0
1588058269.4058518,709,-1.0
1588058269.6544774,711,-1.0
1588058270.576336,715,-1.0
1588058271.0267818,719,0.0
1588058271.7097921,722,-1.0
1588058272.034562,723,0.0
1588058272.1340363,724,0.0
1588058273.2033753,731,-2.0
1588058274.6752582,737,-1.0
1588058275.3288174,739,-1.0
1588058275.5659919,740,0.0
1588058276.5183551,744,-2.0
1588058278.4210832,748,-2.0
1588058279.2969866,751,-1.0
1588058279.6250875,752,-2.0
1588058279.7391076,753,-2.0
1588058280.5384715,755,-1.0
1588058280.8467247,757,-1.0
1588058282.8950155,766,0.0
1588058282.9469385,767,-1.0
1588058284.331227,770,-1.0
1588058284.6167822,771,-1.0
1588058284.8499973,772,-1.0
1588058285.1711435,774,-1.0
1588058285.4569457,775,-1.0
1588058286.9764488,781,-2.0
1588058287.7160747,785,-1.0
1588058287.8306355,786,-1.0
1588058288.248372,788,-1.0
1588058289.4836462,790,-1.0
1588058290.1831403,793,-1.0
1588058290.6441176,794,0.0
1588058290.7197182,795,-1.0
1588058290.8407426,796,-2.0
1588058291.9435074,799,-2.0
1588058292.7922118,803,-1.0
1588058295.7905457,808,-1.0
1588058296.13574,809,-1.0
1588058296.2768266,810,-2.0
1588058298.2104282,816,1.0
1588058300.7698615,822,-1.0
1588058302.0557127,826,0.0
1588058303.1085927,829,0.0
1588058304.0672464,833,-1.0
1588058304.8928294,837,-2.0
1588058305.4187224,839,-2.0
1588058307.07039,844,-1.0
1588058307.75066,847,0.0
1588058313.0638158,868,-2.0
1588058313.4554162,870,0.0
1588058313.6247454,871,0.0
1588058314.9235818,875,1.0
1588058315.1655636,877,-2.0
1588058316.4462378,881,0.0
1588058317.8241956,883,0.0
1588058320.8974826,891,-2.0
1588058324.5173852,897,-1.0
1588058325.4977863,901,-2.0
1588058328.032165,908,1.0
1588058329.0394695,909,0.0
1588058329.745832,910,0.0
1588058329.8704078,911,-1.0
1588058330.6996257,916,-1.0
1588058331.1704907,918,1.0
1588058331.8868456,921,-2.0
1588058332.1120613,922,-1.0
1588058333.103843,924,-1.0
1588058336.1200047,932,-1.0
1588058336.7053616,933,2.0
1588058337.4041703,936,-1.0
1588058340.9684944,943,0.0
1588058341.6469767,946,-1.0
1588058344.796915,955,-2.0
1588058345.031918,957,-1.0
1588058345.27718,958,-2.0
1588058345.4520993,959,-1.0
1588058346.0368576,962,-1.0
1588058347.6924207,963,1.0
1588058348.549904,967,-1.0
1588058350.317761,972,-1.0
1588058350.4726536,973,-1.0
1588058351.930231,977,0.0
1588058352.1738322,978,0.0
1588058352.753742,979,0.0
1588058353.0136976,980,0.0
1588058354.5723133,984,0.0
1588058354.759314,985,-1.0
1588058355.7524767,988,-2.0
1588058355.9011943,989,-1.0
1588058360.7648199,997,0.0
1588058361.769189,1001,0.0
1588058365.2965293,1003,3.0
1588058367.15744,1005,-2.0
1588058367.2828138,1006,-2.0
1588058370.5582285,1013,-2.0
1588058371.0364723,1014,-1.0
1588058371.8180718,1015,-2.0
1588058373.5702584,1018,0.0
1588058377.6366322,1026,0.0
1588058379.5346553,1028,4.0
1588058381.704464,1032,4.0
1588058382.4734578,1033,0.0
1588058384.3116512,1036,-2.0
1588058385.332648,1038,-1.0
1588058390.4273822,1045,-2.0
1588058398.575284,1056,-2.0
1588058400.037358,1058,-1.0
1588058403.9769874,1064,0.0
1588058404.1400461,1065,-2.0
1588058404.6502988,1067,-1.0
1588058405.7527857,1069,-1.0
1588058408.0124352,1073,-2.0
1588058411.1364632,1077,-1.0
1588058412.0369933,1079,-1.0
1588058415.4558923,1084,0.0
1588058415.8536162,1085,1.0
1588058417.7150915,1086,6.0
1588058421.736564,1094,1.0
1588058425.2437203,1100,0.0
1588058430.3601873,1104,-2.0
1588058432.6932957,1105,2.0
1588058433.891388,1106,-1.0
1588058439.8827863,1115,-1.0
1588058440.324664,1117,-2.0
1588058441.975137,1120,0.0
1588058446.9633467,1126,-1.0
1588058447.341344,1127,0.0
1588058450.0623834,1134,-2.0
1588058451.037532,1136,0.0
1588058461.7618527,1156,-2.0
1588058461.8236327,1157,0.0
1588058463.1314588,1161,1.0
1588058463.3696213,1162,-1.0
1588058465.1824248,1163,1.0
1588058478.2409797,1181,0.0
1588058479.240666,1184,-2.0
1588058480.605063,1186,1.0
1588058485.5716212,1193,-2.0
1588058485.7134392,1194,-2.0
1588058491.3601778,1200,-2.0
1588058492.1033647,1202,0.0
1588058493.557388,1207,2.0
1588058495.233986,1209,-1.0
1588058497.758839,1211,3.0
1588058502.6415548,1215,3.0
1588058508.537935,1225,1.0
1588058515.4522543,1233,3.0
1588058515.9306576,1234,-1.0
1588058516.6214502,1235,3.0
1588058518.0620966,1237,-1.0
1588058521.0503526,1240,0.0
1588058522.9063745,1245,-1.0
1588058523.1740124,1248,-2.0
1588058524.9747033,1254,-2.0
1588058527.2933717,1256,1.0
1588058530.00277,1258,3.0
1588058530.3650365,1259,-2.0
1588058530.9371948,1262,-1.0
1588058531.5753546,1264,1.0
1588058533.3902173,1267,1.0
1588058539.477796,1275,-2.0
1588058544.6151352,1282,0.0
1588058550.222272,1288,1.0
1588058553.6631262,1292,-2.0
1588058554.7832408,1293,4.0
1588058556.1204383,1294,1.0
1588058557.572202,1295,0.0
1588058565.2140772,1301,-2.0
1588058567.7716029,1304,-1.0
1588058573.465427,1311,6.0
1588058577.0418608,1313,-1.0
1588058579.8756423,1316,-2.0
1588058581.7176194,1317,0.0
1588058582.9470146,1320,1.0
1588058588.602205,1326,-2.0
1588058593.4097922,1328,-1.0
1588058596.116698,1331,4.0
1588058597.457506,1334,-1.0
1588058597.6324167,1335,0.0
1588058600.312213,1337,2.0
1588058601.4129775,1338,-1.0
1588058602.302665,1344,-2.0
1588058617.5144093,1356,-1.0
1588058622.4307103,1367,-1.0
1588058625.7664433,1371,2.0
1588058636.1438122,1380,3.0
1588058638.6534317,1385,-2.0
1588058638.7565255,1386,0.0
1588058639.575182,1389,0.0
1588058641.221607,1390,2.0
1588058641.8418677,1392,-1.0
1588058642.609842,1393,-2.0
1588058644.8476255,1396,2.0
1588058656.3905318,1413,0.0
1588058657.1891356,1414,0.0
1588058658.9912674,1415,2.0
1588058662.2001855,1420,-1.0
1588058668.2619858,1423,3.0
1588058673.8903177,1427,-1.0
1588058675.4781613,1428,3.0
1588058676.8473208,1429,3.0
1588058679.9829297,1433,3.0
1588058680.3686597,1434,0.0
1588058682.9643235,1437,-2.0
1588058686.1555371,1441,-1.0
1588058686.3701668,1443,-1.0
1588058705.3436067,1457,1.0
1588058712.2163136,1466,-1.0
1588058713.3960176,1467,1.0
1588058723.38542,1478,-1.0
1588058730.9455664,1486,3.0
1588058731.1739995,1487,0.0
1588058731.7433379,1490,-1.0
1588058733.5347753,1492,0.0
1588058734.9088376,1493,0.0
1588058746.8053765,1501,-1.0
1588058747.427262,1502,-1.0
1588058750.774156,1503,1.0
1588058753.3514745,1507,1.0
1588058755.9506032,1509,1.0
1588058757.2631047,1511,0.0
1588058765.3542817,1519,1.0
1588058778.067085,1524,4.0
1588058779.4694593,1525,2.0
1588058784.3938746,1528,0.0
1588058796.3546731,1535,1.0
1588058821.2004452,1547,8.0
1588058823.8400354,1552,0.0
1588058825.0220454,1553,2.0
1588058829.994493,1555,2.0
1588058830.4080956,1556,0.0
1588058839.337811,1562,5.0
1588058850.7016582,1569,0.0
