Wall time,Step,Value
1588059506.6346858,6,-2.0
1588059506.7391973,16,1.0
1588059506.7741706,19,1.0
1588059506.8150659,25,-2.0
1588059506.990121,41,-2.0
1588059507.021599,43,-1.0
1588059507.0413477,45,0.0
1588059507.053261,46,-1.0
1588059507.0619953,48,-1.0
1588059507.0941303,54,-2.0
1588059507.1230543,55,-1.0
1588059507.1432347,57,-2.0
1588059507.2477894,66,0.0
1588059507.3134935,72,-1.0
1588059507.3179793,73,-1.0
1588059507.3246446,74,-1.0
1588059507.3325758,75,-1.0
1588059507.3698397,80,-1.0
1588059507.4423814,88,-2.0
1588059507.5171769,95,-2.0
1588059507.5883455,103,-1.0
1588059507.644232,106,-1.0
1588059507.6501317,107,-2.0
1588059507.7372372,114,-1.0
1588059507.7957945,119,-2.0
1588059507.8681254,127,-2.0
1588059507.8958135,130,-1.0
1588059507.9029136,131,0.0
1588059508.006876,140,-1.0
1588059508.0576754,142,-1.0
1588059508.0622215,143,-2.0
1588059508.1189988,151,-2.0
1588059508.2212822,156,-1.0
1588059508.2415118,159,-2.0
1588059508.2921908,168,-1.0
1588059508.2988064,169,-2.0
1588059508.3956008,178,-1.0
1588059508.4071465,179,-1.0
1588059508.4694343,184,-1.0
1588059508.477127,186,-2.0
1588059508.488255,187,-1.0
1588059508.5303864,191,0.0
1588059508.5924556,199,-2.0
1588059508.6796172,207,-1.0
1588059508.6872995,208,-1.0
1588059508.6905303,209,-2.0
1588059508.7546737,213,-1.0
1588059508.8679628,224,-1.0
1588059508.9497962,230,-2.0
1588059509.0364344,235,0.0
1588059509.088549,238,-1.0
1588059509.191028,250,-1.0
1588059509.2598999,256,-1.0
1588059509.3109899,261,-2.0
1588059509.3455086,264,-2.0
1588059509.3800852,268,-2.0
1588059509.435265,272,-1.0
1588059509.464014,274,-2.0
1588059509.6886456,293,-2.0
1588059509.776396,298,0.0
1588059509.7833006,299,-2.0
1588059509.8648627,304,1.0
1588059509.895795,308,-2.0
1588059509.9097996,309,-1.0
1588059509.9273467,311,-1.0
1588059510.0433774,319,-2.0
1588059510.0526614,320,-2.0
1588059510.1185958,326,-1.0
1588059510.1313324,327,0.0
1588059510.1574569,328,-1.0
1588059510.4375374,331,0.0
1588059511.2940106,340,-2.0
1588059512.3219652,348,-2.0
1588059514.4909575,364,-2.0
1588059514.9585497,368,-1.0
1588059516.346695,374,0.0
1588059516.6628537,378,-2.0
1588059516.9233825,380,-1.0
1588059519.619147,392,1.0
1588059519.8236463,393,-2.0
1588059523.1138062,409,-2.0
1588059525.2968085,422,-2.0
1588059525.3658214,423,-2.0
1588059525.577309,425,-2.0
1588059526.8929574,431,-1.0
1588059528.941488,440,0.0
1588059529.175622,442,-2.0
1588059529.6136217,443,0.0
1588059530.6155097,446,0.0
1588059531.490886,452,0.0
1588059532.9892898,461,-1.0
1588059533.6387732,464,-1.0
1588059533.7123318,465,-1.0
1588059535.6887472,474,-2.0
1588059535.868828,475,0.0
1588059538.7335353,490,-1.0
1588059539.133228,492,-2.0
1588059539.2670891,494,-1.0
1588059542.142273,508,-1.0
1588059543.3734648,513,-1.0
1588059543.8870516,515,-2.0
1588059545.133871,518,0.0
1588059546.709897,526,-1.0
1588059547.4649,532,1.0
1588059547.7112584,534,-2.0
1588059548.5219917,537,-1.0
1588059549.8979676,543,-1.0
1588059550.6327019,548,-2.0
1588059552.515403,558,0.0
1588059552.87836,560,0.0
1588059553.5105278,564,0.0
1588059554.622154,570,-2.0
1588059555.3078365,574,0.0
1588059555.474079,575,-1.0
1588059556.0676806,580,-2.0
1588059556.371542,582,-1.0
1588059556.8538585,583,1.0
1588059557.077482,585,-2.0
1588059557.6038384,587,-1.0
1588059557.9086483,588,-1.0
1588059558.7964945,593,-2.0
1588059558.9126089,594,-2.0
1588059561.0884757,603,0.0
1588059561.8805563,609,-2.0
1588059562.347059,611,1.0
1588059563.8091478,616,1.0
1588059564.6169703,621,-2.0
1588059564.8325002,623,0.0
1588059566.9841647,635,0.0
1588059568.6737282,642,-1.0
1588059568.8020136,643,-2.0
1588059569.2165363,645,-2.0
1588059569.579897,646,-2.0
1588059569.726819,647,-1.0
1588059569.7907753,648,-2.0
1588059570.2897174,650,0.0
1588059571.2224307,653,-1.0
1588059572.1698363,657,-2.0
1588059573.18417,662,-2.0
1588059574.094903,665,0.0
1588059575.2187595,669,-2.0
1588059575.6596391,672,0.0
1588059576.0049722,673,3.0
1588059576.5797937,675,0.0
1588059576.7906096,676,1.0
1588059577.290403,679,-2.0
1588059577.5858505,680,0.0
1588059577.8964593,683,-2.0
1588059578.2831676,684,0.0
1588059580.1884618,689,-2.0
1588059580.3254952,690,-2.0
1588059582.0329862,697,-2.0
1588059583.4036918,700,0.0
1588059584.3012433,704,-1.0
1588059584.8688748,707,1.0
1588059585.4969666,709,0.0
1588059586.610402,711,-2.0
1588059587.667471,715,-2.0
1588059588.5005336,719,-1.0
1588059589.0420663,722,0.0
1588059589.497705,723,-2.0
1588059589.6883223,724,0.0
1588059591.089683,731,-2.0
1588059592.1783423,737,-2.0
1588059592.445764,739,-1.0
1588059592.793996,740,0.0
1588059593.9911613,744,-1.0
1588059594.6027067,748,-2.0
1588059595.5082214,751,-1.0
1588059595.6721647,752,-1.0
1588059595.7945213,753,-1.0
1588059596.5420995,755,2.0
1588059596.99079,757,-1.0
1588059601.1079838,766,-2.0
1588059601.5609865,767,-2.0
1588059601.911755,770,-1.0
1588059602.419098,771,0.0
1588059602.81621,772,-1.0
1588059603.1603758,774,-1.0
1588059603.3026247,775,-1.0
1588059605.2575865,781,-1.0
1588059605.9096014,785,-1.0
1588059606.3830225,786,-1.0
1588059606.7380574,788,-1.0
1588059606.8807461,790,-2.0
1588059607.2519088,793,-1.0
1588059607.496552,794,0.0
1588059607.6977334,795,-1.0
1588059608.204114,796,-1.0
1588059609.1043615,799,-2.0
1588059609.6009424,803,-1.0
1588059611.4279501,808,0.0
1588059611.6167817,809,-1.0
1588059612.3804276,810,0.0
